site_id,tag,fg_declared,bg_declared,fg_composited,bg_composited,naive_cr,extended_cr,aa_naive,aa_extended,false_pos,false_neg
294,div,"rgb(0, 0, 0)","rgb(255, 248, 243)","rgb(0,0,0)","rgb(255,248,243)",19.97,19.97,1,1,0,0
294,section,"rgb(0, 0, 0)","rgb(248, 248, 248)","rgb(0,0,0)","rgb(248,248,248)",19.77,19.77,1,1,0,0
294,div,"rgb(0, 0, 0)","rgb(244, 244, 244)","rgb(0,0,0)","rgb(244,244,244)",19.09,19.09,1,1,0,0
296,div,"rgb(255, 255, 255)","rgb(1, 50, 75)","rgb(255,255,255)","rgb(1,50,75)",13.47,13.47,1,1,0,0
296,button,"rgb(2, 94, 141)","rgb(255, 255, 255)","rgb(2,94,141)","rgb(255,255,255)",7.03,7.03,1,1,0,0
296,a,"rgb(255, 255, 255)","rgb(0, 102, 153)","rgb(255,255,255)","rgb(0,102,153)",6.25,6.25,1,1,0,0
296,div,"rgb(255, 255, 255)","rgb(41, 48, 60)","rgb(255,255,255)","rgb(41,48,60)",13.27,13.27,1,1,0,0
297,div,"rgb(37, 37, 37)","rgba(255, 255, 255, 0.82)","rgb(37,37,37)","rgb(255,255,255)",15.33,15.33,1,1,0,0
297,div,"rgb(37, 37, 37)","rgb(255, 255, 255)","rgb(37,37,37)","rgb(255,255,255)",15.33,15.33,1,1,0,0
297,a,"rgb(255, 255, 255)","rgb(1, 116, 195)","rgb(255,255,255)","rgb(1,116,195)",4.9,4.9,1,1,0,0
297,a,"rgb(255, 255, 255)","rgb(89, 195, 195)","rgb(255,255,255)","rgb(89,195,195)",2.1,2.1,0,0,0,0
297,a,"rgb(36, 36, 36)","rgba(2, 1, 1, 0)","rgb(36,36,36)","rgb(255,255,255)",1.34,15.52,0,1,0,1
297,a,"rgb(255, 255, 255)","rgba(1, 116, 195, 0)","rgb(255,255,255)","rgb(255,255,255)",4.9,1,1,0,1,0
297,div,"rgb(37, 37, 37)","rgb(237, 242, 247)","rgb(37,37,37)","rgb(237,242,247)",13.61,13.61,1,1,0,0
297,a,"rgb(255, 255, 255)","rgb(15, 157, 255)","rgb(255,255,255)","rgb(15,157,255)",2.88,2.88,0,0,0,0
297,a,"rgb(1, 116, 195)","rgb(255, 255, 255)","rgb(1,116,195)","rgb(255,255,255)",4.9,4.9,1,1,0,0
297,a,"rgb(1, 116, 195)","rgba(2, 1, 1, 0)","rgb(1,116,195)","rgb(255,255,255)",4.26,4.9,0,1,0,1
298,a,"rgb(255, 255, 255)","rgb(254, 80, 0)","rgb(255,255,255)","rgb(254,80,0)",3.3,3.3,0,0,0,0
